阿富汗,Afghanistan
特克斯和凯科斯群岛,Turks and Caicos Islands (the)
图瓦卢,Tuvalu
乌干达,Uganda
乌克兰,Ukraine
阿联酋,United Arab Emirates (the)
英国,United Kingdom (the)
美国,United States (the)
美国本土外小岛屿,United States Minor Outlying Islands (the)
乌拉圭,Uruguay
乌兹别克斯坦,Uzbekistan
瓦努阿图,Vanuatu
委内瑞拉,Venezuela
越南,Viet Nam
英属维尔京群岛,Virgin Islands (British)
美属维尔京群岛,Virgin Islands (U.S.)
瓦利斯和富图纳,Wallis and Futuna
西撒哈拉,Western Sahara
也门,Yemen
赞比亚,Zambia
津巴布韦,Zimbabwe
